id,category,product_name,description,price,stock_quantity,image_url
25,Dry Fruit,Dates (Ajwa),"The holy dates of Medina, rich in nutrients.",50.00,60,https://example.com/dryfruit10.jpg
26,Dry Fruit,Dates (Medjool),"Large, caramel-like luxury dates.",35.00,70,https://example.com/dryfruit11.jpg
27,Dry Fruit,Hazelnuts,"Raw, skinless premium hazelnuts.",38.00,50,https://example.com/dryfruit12.jpg
28,Dry Fruit,Macadamia Nuts,"The king of nuts, buttery and rich.",70.00,30,https://example.com/dryfruit13.jpg
29,Dry Fruit,Pecans,"Sweet, earthy nut halves.",42.00,45,https://example.com/dryfruit14.jpg
30,Dry Fruit,Brazil Nuts,"High in Selenium, raw and crunchy.",48.00,40,https://example.com/dryfruit15.jpg
31,Pure Arqiyat,Arq-e-Gulab,Pure steam-distilled Rose water.,8.00,300,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108
32,Pure Arqiyat,Arq-e-Kasni,Distilled Chicory for liver health.,10.00,150,https://example.com/arq2.jpg
33,Pure Arqiyat,Arq-e-Mako,Distilled Nightshade for inflammation.,10.00,150,https://example.com/arq3.jpg
34,Pure Arqiyat,Arq-e-Badiyan,Fennel distillate for digestion.,9.00,200,https://example.com/arq4.jpg
35,Pure Arqiyat,Arq-e-Nana,Mint distillate for cooling effects.,7.00,250,https://example.com/arq5.jpg
36,Pure Arqiyat,Arq-e-Ajwain,Carom seed distillate for gastric relief.,9.00,180,https://example.com/arq6.jpg
37,Pure Arqiyat,Arq-e-Chaharmaza,A blend of four seeds for vitality.,12.00,120,https://example.com/arq7.jpg
38,Pure Arqiyat,Arq-e-Mundiyan,Sphaeranthus distillate for blood purification.,11.00,100,https://example.com/arq8.jpg
39,Pure Arqiyat,Arq-e-Afsanteen,Wormwood distillate for stomach health.,13.00,80,https://example.com/arq9.jpg
40,Pure Arqiyat,Arq-e-Ushba,Sarsaparilla distillate for skin health.,15.00,70,https://example.com/arq10.jpg
41,Pure Arqiyat,Arq-e-Nilofar,Lotus distillate for heart cooling.,14.00,90,https://example.com/arq11.jpg
42,Pure Arqiyat,Arq-e-Gaozaban,Borage distillate for mental clarity.,12.00,110,https://example.com/arq12.jpg
43,Pure Arqiyat,Arq-e-Shahtara,Fumitory distillate for detoxification.,10.00,130,https://example.com/arq13.jpg
44,Pure Arqiyat,Arq-e-Bahar-e-Naranj,Orange blossom water for nerves.,16.00,60,https://example.com/arq14.jpg
45,Pure Arqiyat,Arq-e-Murakkab,Compound distillate for overall wellness.,18.00,50,https://example.com/arq15.jpg
46,Murabba Jat,Amla Murabba,"Indian Gooseberry preserve, high Vit C.",12.00,100,https://example.com/murabba1.jpg
47,Murabba Jat,Apple Murabba,Delicious apple preserve for heart health.,15.00,80,https://example.com/murabba2.jpg
48,Murabba Jat,Carrot Murabba,Gajjar preserve for eyesight.,10.00,120,https://example.com/murabba3.jpg
49,Murabba Jat,Harar Murabba,Black Myrobalan preserve for stomach.,14.00,90,https://example.com/murabba4.jpg
50,Murabba Jat,Ginger Murabba,Spicy ginger preserve for digestion.,16.00,70,https://example.com/murabba5.jpg
51,Murabba Jat,Bael Murabba,Stone apple preserve for gut health.,18.00,60,https://example.com/murabba6.jpg
52,Murabba Jat,Mango Murabba,Sweet raw mango preserve.,13.00,150,https://example.com/murabba7.jpg
53,Murabba Jat,Pineapple Murabba,Exotic fruit preserve with enzymes.,20.00,50,https://example.com/murabba8.jpg
54,Murabba Jat,Petha Murabba,Ash gourd sweet preserve.,9.00,200,https://example.com/murabba9.jpg
55,Murabba Jat,Mixed Fruit Murabba,Assorted fruits in honey syrup.,22.00,40,https://example.com/murabba10.jpg
56,Murabba Jat,Peach Murabba,Soft peach halves in syrup.,17.00,55,https://example.com/murabba11.jpg
57,Murabba Jat,Quince Murabba (Safarjal),Traditional remedy for heart and lung.,25.00,30,https://example.com/murabba12.jpg
58,Murabba Jat,Garlic Murabba,Pickled sweet garlic for blood pressure.,19.00,45,https://example.com/murabba13.jpg
59,Murabba Jat,Papaya Murabba,Digestive aid papaya preserve.,14.00,75,https://example.com/murabba14.jpg
60,Murabba Jat,Cherry Murabba,Sweetened whole cherries.,24.00,35,https://example.com/murabba15.jpg
61,Special Powders,Moringa Powder,Superfood green leaf powder.,15.00,200,https://images.unsplash.com/photo-1515696955266-4f67e13219e8
62,Special Powders,Ashwagandha Powder,Adaptogen for stress relief.,18.00,150,https://example.com/powder2.jpg
63,Special Powders,Turmeric Powder (Curcumin),High-potency organic turmeric.,10.00,300,https://example.com/powder3.jpg
64,Special Powders,Spirulina Powder,Blue-green algae superfood.,25.00,100,https://example.com/powder4.jpg
65,Special Powders,Wheatgrass Powder,Detoxifying chlorophyll boost.,20.00,120,https://example.com/powder5.jpg
66,Special Powders,Psyllium Husk (Ispaghol),Pure dietary fiber for digestion.,12.00,400,https://example.com/powder6.jpg
67,Special Powders,Barley Grass Powder,Mineral-rich alkaline powder.,19.00,110,https://example.com/powder7.jpg
68,Special Powders,Shatavari Powder,Hormonal balance for women.,22.00,80,https://example.com/powder8.jpg
69,Special Powders,Triphala Powder,Ayurvedic blend for gut cleanse.,14.00,160,https://example.com/powder9.jpg
70,Special Powders,Licorice Root Powder,Soothes throat and stomach.,13.00,140,https://example.com/powder10.jpg
71,Special Powders,Beetroot Powder,Natural energy and BP support.,17.00,130,https://example.com/powder11.jpg
72,Special Powders,Neem Leaf Powder,Blood purifier and skin support.,11.00,180,https://example.com/powder12.jpg
73,Special Powders,Brahmi Powder,Memory and focus enhancer.,24.00,70,https://example.com/powder13.jpg
74,Special Powders,Amla Powder,Dried gooseberry for hair and skin.,12.00,250,https://example.com/powder14.jpg
75,Special Powders,Matcha Green Tea Powder,High-antioxidant ceremonial grade.,35.00,60,https://example.com/powder15.jpg
76,Herbs,Dried Lavender Buds,Fragrant culinary-grade lavender for tea and aromatics.,12.00,100,https://images.unsplash.com/photo-1597481499750-3e6b22637e12
77,Herbs,Peppermint Leaves,Dried organic peppermint for refreshing herbal infusions.,9.00,150,https://example.com/herbs2.jpg
78,Herbs,Hibiscus Petals,Tart and vitamin-rich dried hibiscus flowers.,11.00,120,https://example.com/herbs3.jpg
79,Herbs,Ginseng Root,Whole dried Panax ginseng root for energy and vitality.,45.00,40,https://example.com/herbs4.jpg
80,Herbs,Ginkgo Biloba,Dried leaves known for supporting cognitive function.,14.00,80,https://example.com/herbs5.jpg
81,Herbs,St. Johns Wort,Traditional herb used for emotional wellness.,13.00,60,https://example.com/herbs6.jpg
82,Herbs,Valerian Root,Potent herb used naturally to support sleep.,16.00,50,https://example.com/herbs7.jpg
83,Herbs,Echinacea,Dried purple coneflower for immune system support.,15.00,90,https://example.com/herbs8.jpg
84,Herbs,Milk Thistle Seeds,Whole seeds used to support liver detoxification.,12.00,110,https://example.com/herbs9.jpg
85,Herbs,Dandelion Root,Roasted root used as a natural coffee substitute.,10.00,130,https://example.com/herbs10.jpg
86,Herbs,Nettle Leaf,Nutrient-dense wild-harvested stinging nettle.,8.00,200,https://example.com/herbs11.jpg
87,Herbs,Sage Leaves,Earthy and aromatic leaves for culinary and ritual use.,7.00,180,https://example.com/herbs12.jpg
88,Herbs,Holy Basil (Tulsi),"The ""Queen of Herbs"" for stress and immunity.",11.00,140,https://example.com/herbs13.jpg
89,Herbs,Lemon Balm,Citrus-scented herb for relaxation and focus.,9.00,100,https://example.com/herbs14.jpg
90,Herbs,Rosemary Needles,Dried organic rosemary for memory and cooking.,6.00,250,https://example.com/herbs15.jpg
91,Common Items,Himalayan Pink Salt,Coarse mineral salt from ancient sea deposits.,5.00,500,https://images.unsplash.com/photo-1615485500704-8e990f9900f7
92,Common Items,Black Peppercorns,Tellicherry whole black pepper for fresh grinding.,8.00,300,https://example.com/common2.jpg
93,Common Items,Cinnamon Sticks,Pure Ceylon cinnamon barks for flavoring.,12.00,150,https://example.com/common3.jpg
94,Common Items,Green Tea Leaves,Whole leaf gunpowder green tea.,10.00,200,https://example.com/common4.jpg
95,Common Items,Organic Jaggery,Unrefined cane sugar with natural molasses.,6.00,400,https://example.com/common5.jpg
96,Common Items,Cardamom Pods,Whole green cardamom for aromatic dishes.,20.00,100,https://example.com/common6.jpg
97,Common Items,Cloves,Strong and pungent whole dried flower buds.,15.00,120,https://example.com/common7.jpg
98,Common Items,Star Anise,Beautiful star-shaped spice for teas and stews.,14.00,80,https://example.com/common8.jpg
99,Common Items,Cumin Seeds,Earthy and warm aromatic spice.,7.00,350,https://example.com/common9.jpg
100,Common Items,Fennel Seeds,Sweet seeds used as a post-meal digestive.,5.00,400,https://example.com/common10.jpg
101,Common Items,Bay Leaves,Whole dried laurel leaves for soups.,4.00,500,https://example.com/common11.jpg
102,Common Items,Mustard Seeds,Small pungent seeds for pickling and tempering.,3.00,600,https://example.com/common12.jpg
103,Common Items,Coconut Sugar,Low-glycemic natural sweetener.,9.00,250,https://example.com/common13.jpg
104,Common Items,Turmeric Fingers,Whole dried turmeric roots.,8.00,300,https://example.com/common14.jpg
105,Common Items,Fenugreek Seeds,Nutty seeds used in traditional wellness.,6.00,400,https://example.com/common15.jpg
106,Natural Items,Organic Aloe Vera Gel,99% pure cold-pressed aloe for skin and hair.,15.00,200,https://example.com/natural1.jpg
107,Natural Items,Multani Mitti,Fuller's Earth clay for deep pore cleansing.,7.00,300,https://example.com/natural2.jpg
108,Natural Items,Raw Shea Butter,Unrefined African shea butter for intense moisture.,18.00,150,https://example.com/natural3.jpg
109,Natural Items,Apple Cider Vinegar,"Organic vinegar with ""the mother"" for detox.",12.00,250,https://example.com/natural4.jpg
110,Natural Items,Cold Pressed Neem Oil,Natural antiseptic oil for skin and plants.,14.00,180,https://example.com/natural5.jpg
111,Natural Items,Epsom Salt,Pure magnesium sulfate for relaxing baths.,10.00,400,https://example.com/natural6.jpg
112,Natural Items,Witch Hazel Extract,Natural alcohol-free toner for skin.,11.00,220,https://example.com/natural7.jpg
113,Natural Items,Bentonite Clay,Healing clay for detoxifying masks.,13.00,190,https://example.com/natural8.jpg
114,Natural Items,Castor Oil,"Thick, nutrient-rich oil for hair growth.",16.00,160,https://example.com/natural9.jpg
115,Natural Items,Jojoba Oil,Golden oil that mimics natural skin sebum.,22.00,110,https://example.com/natural10.jpg
116,Natural Items,Argan Oil,Liquid gold from Morocco for hair shine.,30.00,90,https://example.com/natural11.jpg
117,Natural Items,Rosehip Oil,Pure seed oil for skin rejuvenation.,25.00,80,https://example.com/natural12.jpg
118,Natural Items,Beeswax Pellets,Natural yellow beeswax for DIY balms.,14.00,150,https://example.com/natural13.jpg
119,Natural Items,Activated Charcoal,Fine powder for whitening and detox.,17.00,130,https://example.com/natural14.jpg
120,Natural Items,Tea Tree Oil,Essential oil with powerful purifying properties.,19.00,140,https://example.com/natural15.jpg
121,Premium Items,Gold Grade Shilajit,Pure Himalayan resin with 80+ minerals.,55.00,50,https://example.com/premium1.jpg
122,Premium Items,Kashmiri Saffron (Mogra),Highest grade saffron threads for luxury.,80.00,30,https://images.unsplash.com/photo-1502330023388-f97021590ddf
123,Premium Items,Manuka Honey MGO 500+,Ultra-high activity honey for healing.,95.00,25,https://example.com/premium3.jpg
124,Premium Items,Royal Jelly Elixir,"The food of queen bees, rich in proteins.",70.00,40,https://example.com/premium4.jpg
125,Premium Items,Pure Sandalwood Oil,Rare Mysore sandalwood essential oil.,120.00,15,https://example.com/premium5.jpg
126,Premium Items,Wild Sidr Honey (Aged),Limited edition honey aged for potency.,110.00,20,https://example.com/premium6.jpg
127,Premium Items,Ginseng Extract 10-Year,Ultra-concentrated aged ginseng extract.,85.00,35,https://example.com/premium7.jpg
128,Premium Items,Pearl Powder (Edible),Micro-ground pearls for skin radiance.,60.00,45,https://example.com/premium8.jpg
129,Premium Items,Musk Tahara (Pure),"Thick, luxurious white musk fragrance.",40.00,60,https://example.com/premium9.jpg
130,Premium Items,Dragon's Blood Resin,Rare botanical resin for skin repair.,50.00,30,https://example.com/premium10.jpg
131,Premium Items,White Truffle Oil,Premium natural infusion for gourmet health.,45.00,55,https://example.com/premium11.jpg
132,Premium Items,Aged Balsamic Vinegar,25-year aged vinegar for heart health.,75.00,25,https://example.com/premium12.jpg
133,Premium Items,Ceremonial Matcha (AAA),The highest grade of Japanese green tea.,55.00,50,https://example.com/premium13.jpg
134,Premium Items,Pure Amber Resin,Fossilized natural resin for aromatics.,65.00,40,https://example.com/premium14.jpg
135,Premium Items,Deer Musk Oil (Synthetic-Free),Traditional premium oil for vitality.,150.00,10,https://example.com/premium15.jpg
